TicketNumber;TicketStatus;CreatedAt;ServiceOrderStatus;Description;TicketStatusDetail;Descriptions
Z17235771;Hold;24/07/2026 14:43;Authorized;**Não gela**;;problem_with_refrigerator_do_not_freeze
Z17235783;Hold;24/07/2026 14:43;Authorized;tivemos uma queda de energia no nosso estabelecimento e os dois freezer não  fun;;problem_with_refrigerator_do_not_turn_on
Z17235668;Hold;24/07/2026 14:42;Authorized;"Olá, **S5 - RANCHO DO LEO**!
Sua solicitação foi aberta com sucesso! Ela está em";;problem_with_refrigerator_others
Z17235807;Hold;24/07/2026 14:42;Opened;geladeira da Skol vazando água;;problem_with_refrigerator_do_not_freeze
Z17235803;Hold;24/07/2026 14:42;;cheirando queimado;CONTRACT_OPENING_REGULARIZATION;problem_with_refrigerator_noise
Z17235672;Hold;24/07/2026 14:37;Authorized;substituição da borracha;;problem_with_refrigerator_others
Z17235641;Hold;24/07/2026 14:36;Authorized;chopeira vazando muitooo;;problem_with_chopper_leak
Z17235633;Hold;24/07/2026 14:36;Authorized;vazamento grande de gás, cliente tem reclamado que esta trocando muito cilindro;;problem_with_chopper_leak
Z17235619;Hold;24/07/2026 14:36;Authorized;geladeira não gela;;problem_with_refrigerator_do_not_freeze
Z17235564;Hold;24/07/2026 14:33;Authorized;precisa de ajuste de temperatura;;problem_with_refrigerator_do_not_freeze
Z17235534;Hold;24/07/2026 14:32;Authorized;pedi para fazer a manutenção do engate do barril, não foi resolvido, péssimo ser;;problem_with_chopper_others
Z17235465;Hold;24/07/2026 14:32;Authorized;"Olá, **CASA PAO QUEIJO**!
Sua solicitação foi aberta com sucesso! Ela está em an";;problem_with_chopper_fault_in_the_tap, problem_with_chopper_others
Z17235456;Hold;24/07/2026 14:27;Authorized;led queimado;;problem_with_refrigerator_lamp_burned
Z17235444;Hold;24/07/2026 14:27;Authorized;necessito manutenção urgente a última manutenção nao resolveu o problema;;problem_with_refrigerator_do_not_freeze
Z17235443;Hold;24/07/2026 14:27;Authorized;troca de borracha de vedação;;problem_with_refrigerator_door_does_not_close
Z17235398;Hold;24/07/2026 14:26;Authorized;o freezer não está fechando;;problem_with_refrigerator_door_does_not_close
Z17235392;Hold;24/07/2026 14:26;Authorized;não gela;;problem_with_refrigerator_do_not_freeze
Z17235386;Hold;24/07/2026 14:26;;solicito manutenção para o freezer que está dando problema fazendo muito barulho;CONTRACT_OPENING_REGULARIZATION;problem_with_refrigerator_noise
Z17235374;Rejected;24/07/2026 14:26;;MIX PATIO NORTE - EQUIPAMENTO SKOL CONGELANDO TR;;problema_da_geladeira_outros
Z17235379;Hold;24/07/2026 14:25;Authorized;cliente com equipamento sem pegar;;problem_with_refrigerator_do_not_freeze
Z17235305;Hold;24/07/2026 14:23;Authorized;A geladeira nao estar ligando.;;problem_with_refrigerator_do_not_turn_on
Z17235355;Hold;24/07/2026 14:23;Opened;"Minha maquina não recebe visita de assepsia 
O equipamento apresenta falhas no f";;problem_with_chopper_leak
Z17235273;Hold;24/07/2026 14:23;Authorized;Refrigerante entra no modo economia de energia a noite e so volta a gelar quando;;problem_with_refrigerator_others
Z17235262;Hold;24/07/2026 14:22;Authorized;não está gelando;;problem_with_refrigerator_do_not_freeze
