created_month,semantic_category,tickets,percentage_in_month
04/2026,refrigerator / problem refrigerator / problem,2423,44.93
04/2026,chopper / problem chopper / leak,613,11.37
04/2026,gela repaired / nao gela / gela,423,7.84
04/2026,close / door / door does,400,7.42
04/2026,esta gelando / gelando / nao esta,382,7.08
04/2026,sua solicitacao / aberta com / foi aberta,290,5.38
04/2026,lamp / burned / lamp burned,236,4.38
04/2026,nao gela / gela / freeze nao,234,4.34
04/2026,freeze drinks / drinks / congelando,198,3.67
04/2026,parou / parou gelar / gelar,129,2.39
04/2026,wrong / wrong adress / adress,56,1.04
04/2026,scheduled time / scheduled / absent scheduled,9,0.17
05/2026,refrigerator / problem refrigerator / problem,9683,42.43
05/2026,chopper / problem chopper / leak,2544,11.15
05/2026,gela repaired / nao gela / gela,1812,7.94
05/2026,close / door / door does,1662,7.28
05/2026,esta gelando / gelando / nao esta,1400,6.14
05/2026,sua solicitacao / aberta com / foi aberta,1335,5.85
05/2026,lamp / burned / lamp burned,1106,4.85
05/2026,freeze drinks / drinks / congelando,996,4.36
05/2026,nao gela / gela / freeze nao,868,3.8
05/2026,scheduled time / scheduled / absent scheduled,622,2.73
05/2026,parou / parou gelar / gelar,544,2.38
05/2026,wrong / wrong adress / adress,247,1.08
06/2026,refrigerator / problem refrigerator / problem,8883,41.47
06/2026,chopper / problem chopper / leak,2436,11.37
06/2026,gela repaired / nao gela / gela,1601,7.47
06/2026,close / door / door does,1442,6.73
06/2026,sua solicitacao / aberta com / foi aberta,1367,6.38
06/2026,lamp / burned / lamp burned,1231,5.75
06/2026,esta gelando / gelando / nao esta,1158,5.41
06/2026,freeze drinks / drinks / congelando,1038,4.85
06/2026,nao gela / gela / freeze nao,829,3.87
06/2026,scheduled time / scheduled / absent scheduled,771,3.6
06/2026,parou / parou gelar / gelar,464,2.17
06/2026,wrong / wrong adress / adress,200,0.93
07/2026,refrigerator / problem refrigerator / problem,7734,43.41
07/2026,chopper / problem chopper / leak,1898,10.65
07/2026,close / door / door does,1287,7.22
07/2026,gela repaired / nao gela / gela,1218,6.84
07/2026,lamp / burned / lamp burned,986,5.53
07/2026,esta gelando / gelando / nao esta,951,5.34
07/2026,freeze drinks / drinks / congelando,891,5.0
07/2026,sua solicitacao / aberta com / foi aberta,874,4.91
07/2026,nao gela / gela / freeze nao,756,4.24
07/2026,scheduled time / scheduled / absent scheduled,685,3.84
07/2026,parou / parou gelar / gelar,387,2.17
07/2026,wrong / wrong adress / adress,149,0.84
